group,event_id,feature,row_count,count,missing_count,missing_rate,mean,median,std,min,p01,p05,p25,p75,p95,p99,max,abnormal_note
EVT_2025_positive,mixed,rainfall_total,1193,1193,0,0.0,57.52581134199436,58.917681360897404,8.014380354827122,45.981405345550364,47.421313660091684,47.553384817087185,48.68784475792013,64.25560114628755,66.67725043111375,76.12927463883378,89.98573187708114,ok
EVT_2025_positive,mixed,rainfall_3h,1193,1193,0,0.0,27.36239799216782,28.250190753354943,3.278290576770212,10.465823869910459,23.357700162697196,23.39418811756665,23.982616374648558,29.21511123572141,32.483053135429934,33.558472720361145,61.20183747291632,ok
EVT_2025_positive,mixed,rainfall_6h,1193,1193,0,0.0,35.03730621884248,36.33070100079092,4.705707942614628,19.046597117893647,28.88136411650473,28.95441599207914,29.99322222436472,37.968931107823224,41.43718027902645,47.05708156340032,68.15608792643438,ok
EVT_2025_positive,mixed,rainfall_24h,1193,1193,0,0.0,46.08983108721614,47.62731447695193,7.558042117014376,32.89754526424438,36.40668003450247,36.51670479822181,38.42598513471887,52.24364862665775,54.92212238917564,66.32382765004014,75.74410467248464,ok
EVT_2025_positive,mixed,max_hourly_intensity,1193,1193,0,0.0,14.537512042098601,13.651182134860642,4.468702090237719,5.5217551422854365,10.841856271018816,10.855382368753707,11.246621135749413,14.630476339299362,27.870093555879215,29.669459509047932,29.960623429757824,ok
EVT_2025_positive,mixed,cumulative_rainfall_mm,1193,1193,0,0.0,57.52581134199436,58.917681360897404,8.014380354827122,45.981405345550364,47.421313660091684,47.553384817087185,48.68784475792013,64.25560114628755,66.67725043111375,76.12927463883378,89.98573187708114,ok
EVT_2025_positive,mixed,elevation,1193,1193,0,0.0,113.03795731497331,40.97754669189453,128.4086716412793,7.199786186218262,8.114596710205078,10.47882709503174,23.47559928894043,176.87979125976562,395.8964782714842,499.6688867187492,553.6690063476562,ok
EVT_2025_positive,mixed,slope,1193,1193,0,0.0,7.121668620316102,3.829529166553846,7.165357720096136,0.020728015616198272,0.11230332974054764,0.27625026731674196,1.0650347039505283,13.055481765201534,20.73014807868006,24.46767809599683,30.023339471586365,ok
EVT_2025_positive,mixed,relative_elev,1193,1193,0,0.0,-3.217375804674136,-4.4051898294243905,15.977276714677286,-48.44325193294807,-33.55708623208309,-24.780893007388595,-10.768570230026711,-0.22861819621942558,26.13754741574137,62.54973385645338,97.01249442612828,ok
EVT_2025_positive,mixed,distance_to_stream,1193,1193,0,0.0,699.2174865626071,657.0396686802578,471.5473006409335,0.0,8.014937279526029,57.65251012026405,306.6983079643973,1003.2682854178627,1431.1426259562627,2147.1060969080695,2531.808668910457,ok
EVT_2025_positive,mixed,flood_overlap_ratio,1193,1193,0,0.0,0.3261689094383597,0.057175482994915476,0.41496726271707346,3.838556704000431e-06,0.0001094066150140328,0.0023820990978350377,0.017559431161768398,0.8484300678669036,1.0,1.0,1.0,ok
EVT_2025_positive,mixed,flood_overlap_area,1193,1193,0,0.0,2641.968166450713,463.1214122588154,3361.234828008295,0.031092309302403486,0.8861935816136657,19.295002692463804,142.23139241032402,6872.2835497219185,8100.0,8100.0,8100.0,ok
EVT_2025_negative,mixed,rainfall_total,119697,119697,0,0.0,60.15897509204156,59.91595385727153,11.34014266144752,38.26471139378224,40.589039709982345,43.16715993974672,49.515468409037425,69.86977771042422,77.88173298391393,86.27627473644479,93.24263833541407,ok
